indicator_id,name,measure,geo_type_name,geo_join_id,data_value,geo_place_name,measure_info,time_period,message,start_date,unique_id
365,Fine particles (PM 2.5),Mean,CD,107,13.77,Upper West Side (CD7),mcg/m3,Winter 2013-14,,2013-12-01T00:00:00.000,213760
365,Fine particles (PM 2.5),Mean,CD,107,14.65,Upper West Side (CD7),mcg/m3,Winter 2008-09,,2008-12-01T00:00:00.000,168400
365,Fine particles (PM 2.5),Mean,Borough,5,9.44,Staten Island,mcg/m3,Annual Average 2011,,2010-12-01T00:00:00.000,179657
365,Fine particles (PM 2.5),Mean,UHF42,104,6.12,Pelham - Throgs Neck,mcg/m3,Annual Average 2020,,2020-01-01T00:00:00.000,669829
365,Fine particles (PM 2.5),Mean,Borough,5,7.85,Staten Island,mcg/m3,Summer 2014,,2014-06-01T00:00:00.000,211424
365,Fine particles (PM 2.5),Mean,Borough,5,6.50,Staten Island,mcg/m3,Winter 2018-19,,2018-12-01T00:00:00.000,649662
657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),Borough,5,29.60,Staten Island,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,131266
657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),Borough,5,20.80,Staten Island,"per 100,000 adults",2015-2017,,2015-01-01T00:00:00.000,628484
365,Fine particles (PM 2.5),Mean,Borough,5,7.69,Staten Island,mcg/m3,Annual Average 2015,,2015-01-01T00:00:00.000,333949
650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,Borough,5,13.60,Staten Island,"per 100,000 adults",2012-2014,,2012-01-02T00:00:00.000,518791
639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,504,65.00,South Beach - Tottenville,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,130396
647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Borough,5,1.80,Staten Island,µg/m3,2011,,2011-01-01T00:00:00.000,315637
647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,104,1.61,Pelham - Throgs Neck,µg/m3,2014,,2014-01-01T00:00:00.000,799818
647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,304,1.61,Upper West Side,µg/m3,2014,,2014-01-01T00:00:00.000,799836
647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,104,2.00,Pelham - Throgs Neck,µg/m3,2011,,2011-01-01T00:00:00.000,315641
647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,304,4.00,Upper West Side,µg/m3,2005,,2005-01-01T00:00:00.000,130754
639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,304,59.50,Upper West Side,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,130376
639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,404,48.90,Bayside - Little Neck,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,130386
639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,104,73.60,Pelham - Throgs Neck,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,130358
639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,204,64.10,East New York,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,130365
639,Deaths due to PM2.5,Estimated annual rate (age 30+),Borough,5,70.70,Staten Island,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,130786
639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,211,72.20,Williamsburg - Bushwick,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,130372
648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),Borough,5,33.10,Staten Island,"per 100,000 children",2015-2017,,2015-01-01T00:00:00.000,628436
648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),Borough,5,45.43,Staten Island,"per 100,000 children",2012-2014,,2012-01-02T00:00:00.000,518887
648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),Borough,5,50.50,Staten Island,"per 100,000 children",2009-2011,,2009-01-01T00:00:00.000,131458
655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),Borough,5,11.70,Staten Island,"per 100,000 children",2005-2007,,2005-01-01T00:00:00.000,131170
650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,Borough,5,14.20,Staten Island,"per 100,000 adults",2009-2011,,2009-01-01T00:00:00.000,131554
651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,Borough,5,25.20,Staten Island,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,130978
651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,UHF42,504,23.90,South Beach - Tottenville,"per 100,000 adults",2005-2007,,2005-01-01T00:00:00.000,130972
386,Ozone (O3),Mean,CD,107,27.40,Upper West Side (CD7),ppb,Summer 2014,,2014-06-01T00:00:00.000,216319
386,Ozone (O3),Mean,CD,207,30.26,Kingsbridge Heights and Bedford (CD7),ppb,Summer 2014,,2014-06-01T00:00:00.000,216391
375,Nitrogen dioxide (NO2),Mean,CD,107,23.85,Upper West Side (CD7),ppb,Annual Average 2015,,2015-01-01T00:00:00.000,336739
375,Nitrogen dioxide (NO2),Mean,CD,107,20.86,Upper West Side (CD7),ppb,Summer 2014,,2014-06-01T00:00:00.000,213406
365,Fine particles (PM 2.5),Mean,CD,107,9.77,Upper West Side (CD7),mcg/m3,Annual Average 2015,,2015-01-01T00:00:00.000,334201
365,Fine particles (PM 2.5),Mean,CD,107,9.79,Upper West Side (CD7),mcg/m3,Summer 2014,,2014-06-01T00:00:00.000,213937
365,Fine particles (PM 2.5),Mean,CD,107,11.47,Upper West Side (CD7),mcg/m3,Annual Average 2011,,2010-12-01T00:00:00.000,170288
365,Fine particles (PM 2.5),Mean,CD,107,12.16,Upper West Side (CD7),mcg/m3,Annual Average 2009,,2008-12-01T00:00:00.000,170170
375,Nitrogen dioxide (NO2),Mean,CD,107,29.28,Upper West Side (CD7),ppb,Annual Average 2011,,2010-12-01T00:00:00.000,167633
375,Nitrogen dioxide (NO2),Mean,CD,107,31.90,Upper West Side (CD7),ppb,Annual Average 2009,,2008-12-01T00:00:00.000,167515
375,Nitrogen dioxide (NO2),Mean,UHF42,104,19.36,Pelham - Throgs Neck,ppb,Annual Average 2015,,2015-01-01T00:00:00.000,336499
375,Nitrogen dioxide (NO2),Mean,UHF42,104,14.96,Pelham - Throgs Neck,ppb,Summer 2014,,2014-06-01T00:00:00.000,212419
375,Nitrogen dioxide (NO2),Mean,UHF42,104,22.83,Pelham - Throgs Neck,ppb,Annual Average 2009,,2008-12-01T00:00:00.000,176512
375,Nitrogen dioxide (NO2),Mean,UHF42,104,21.61,Pelham - Throgs Neck,ppb,Annual Average 2011,,2010-12-01T00:00:00.000,176596
386,Ozone (O3),Mean,Borough,5,31.41,Staten Island,ppb,Summer 2014,,2014-06-01T00:00:00.000,219994
386,Ozone (O3),Mean,UHF42,204,31.97,East New York,ppb,Summer 2014,,2014-06-01T00:00:00.000,222466
375,Nitrogen dioxide (NO2),Mean,Borough,5,13.72,Staten Island,ppb,Annual Average 2015,,2015-01-01T00:00:00.000,336487
365,Fine particles (PM 2.5),Mean,UHF34,205,7.97,Sunset Park,mcg/m3,Winter 2018-19,,2018-12-01T00:00:00.000,649815
365,Fine particles (PM 2.5),Mean,UHF34,205,9.45,Sunset Park,mcg/m3,Summer 2014,,2014-06-01T00:00:00.000,211968
365,Fine particles (PM 2.5),Mean,UHF34,205,11.04,Sunset Park,mcg/m3,Annual Average 2009,,2008-12-01T00:00:00.000,174117
365,Fine particles (PM 2.5),Mean,UHF34,205,10.84,Sunset Park,mcg/m3,Annual Average 2011,,2010-12-01T00:00:00.000,174185
375,Nitrogen dioxide (NO2),Mean,Borough,5,11.63,Staten Island,ppb,Annual Average 2020,,2020-01-01T00:00:00.000,667051
375,Nitrogen dioxide (NO2),Mean,Borough,5,16.15,Staten Island,ppb,Winter 2018-19,,2018-12-01T00:00:00.000,643317
375,Nitrogen dioxide (NO2),Mean,Borough,5,9.26,Staten Island,ppb,Summer 2014,,2014-06-01T00:00:00.000,211379
375,Nitrogen dioxide (NO2),Mean,UHF34,205,19.71,Sunset Park,ppb,Annual Average 2015,,2015-01-01T00:00:00.000,336640
375,Nitrogen dioxide (NO2),Mean,UHF34,205,15.23,Sunset Park,ppb,Summer 2014,,2014-06-01T00:00:00.000,211662
375,Nitrogen dioxide (NO2),Mean,UHF34,205,16.77,Sunset Park,ppb,Annual Average 2020,,2020-01-01T00:00:00.000,667357
375,Nitrogen dioxide (NO2),Mean,UHF34,205,23.31,Sunset Park,ppb,Winter 2018-19,,2018-12-01T00:00:00.000,643470
386,Ozone (O3),Mean,UHF34,404406,32.08,Bayside Little Neck-Fresh Meadows,ppb,Summer 2014,,2014-06-01T00:00:00.000,221974
386,Ozone (O3),Mean,UHF34,205,28.83,Sunset Park,ppb,Summer 2019,,2019-06-01T00:00:00.000,650972
365,Fine particles (PM 2.5),Mean,UHF34,205,9.25,Sunset Park,mcg/m3,Winter 2017-18,,2017-12-01T00:00:00.000,605815
365,Fine particles (PM 2.5),Mean,UHF34,205,7.32,Sunset Park,mcg/m3,Annual Average 2019,,2019-01-01T00:00:00.000,649813
375,Nitrogen dioxide (NO2),Mean,UHF34,205,21.09,Sunset Park,ppb,Annual Average 2012,,2011-12-01T00:00:00.000,172689
386,Ozone (O3),Mean,UHF34,205,33.28,Sunset Park,ppb,Summer 2016,,2016-06-01T00:00:00.000,412044
386,Ozone (O3),Mean,UHF34,205,31.50,Sunset Park,ppb,Summer 2011,,2011-06-01T00:00:00.000,221839
386,Ozone (O3),Mean,UHF34,205,32.71,Sunset Park,ppb,Summer 2010,,2010-06-01T00:00:00.000,221838
386,Ozone (O3),Mean,UHF34,205,27.71,Sunset Park,ppb,2-Year Summer Average 2009-2010,,2009-06-01T00:00:00.000,122132
375,Nitrogen dioxide (NO2),Mean,UHF34,205,18.46,Sunset Park,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643468
365,Fine particles (PM 2.5),Mean,Borough,5,9.81,Staten Island,mcg/m3,Annual Average 2009,,2008-12-01T00:00:00.000,179647
386,Ozone (O3),Mean,UHF34,409,27.59,Southeast Queens,ppb,Summer 2009,,2009-06-01T00:00:00.000,221939
375,Nitrogen dioxide (NO2),Mean,UHF34,409,14.50,Southeast Queens,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643519
375,Nitrogen dioxide (NO2),Mean,UHF34,409,21.61,Southeast Queens,ppb,Winter 2017-18,,2017-12-01T00:00:00.000,602905
375,Nitrogen dioxide (NO2),Mean,UHF34,404406,14.65,Bayside Little Neck-Fresh Meadows,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643534
375,Nitrogen dioxide (NO2),Mean,UHF34,404406,25.90,Bayside Little Neck-Fresh Meadows,ppb,Winter 2013-14,,2013-12-01T00:00:00.000,211582
375,Nitrogen dioxide (NO2),Mean,UHF34,409,25.34,Southeast Queens,ppb,Winter 2013-14,,2013-12-01T00:00:00.000,211577
375,Nitrogen dioxide (NO2),Mean,UHF34,205,23.77,Sunset Park,ppb,Annual Average 2010,,2009-12-01T00:00:00.000,172621
375,Nitrogen dioxide (NO2),Mean,UHF34,205,25.84,Sunset Park,ppb,Winter 2012-13,,2012-12-01T00:00:00.000,171703
386,Ozone (O3),Mean,UHF34,205,29.67,Sunset Park,ppb,Summer 2013,,2013-06-01T00:00:00.000,221841
365,Fine particles (PM 2.5),Mean,UHF42,104,8.53,Pelham - Throgs Neck,mcg/m3,Summer 2021,,2021-06-01T00:00:00.000,742172
365,Fine particles (PM 2.5),Mean,Borough,5,7.88,Staten Island,mcg/m3,Summer 2021,,2021-06-01T00:00:00.000,742160
365,Fine particles (PM 2.5),Mean,UHF42,104,7.31,Pelham - Throgs Neck,mcg/m3,Winter 2018-19,,2018-12-01T00:00:00.000,649674
365,Fine particles (PM 2.5),Mean,UHF42,104,8.93,Pelham - Throgs Neck,mcg/m3,Annual Average 2015,,2015-01-01T00:00:00.000,333961
365,Fine particles (PM 2.5),Mean,UHF42,104,8.55,Pelham - Throgs Neck,mcg/m3,Summer 2014,,2014-06-01T00:00:00.000,212797
365,Fine particles (PM 2.5),Mean,UHF42,104,10.59,Pelham - Throgs Neck,mcg/m3,Annual Average 2009,,2008-12-01T00:00:00.000,178402
365,Fine particles (PM 2.5),Mean,UHF42,104,10.50,Pelham - Throgs Neck,mcg/m3,Annual Average 2011,,2010-12-01T00:00:00.000,178486
365,Fine particles (PM 2.5),Mean,UHF42,204,8.08,East New York,mcg/m3,Summer 2014,,2014-06-01T00:00:00.000,212804
365,Fine particles (PM 2.5),Mean,UHF42,204,8.72,East New York,mcg/m3,Annual Average 2015,,2015-01-01T00:00:00.000,333982
386,Ozone (O3),Mean,UHF34,205,29.02,Sunset Park,ppb,Summer 2021,,2021-06-01T00:00:00.000,743676
365,Fine particles (PM 2.5),Mean,UHF42,204,6.02,East New York,mcg/m3,Annual Average 2020,,2020-01-01T00:00:00.000,669808
365,Fine particles (PM 2.5),Mean,UHF42,204,7.15,East New York,mcg/m3,Winter 2018-19,,2018-12-01T00:00:00.000,649695
365,Fine particles (PM 2.5),Mean,UHF42,304,8.16,Upper West Side,mcg/m3,Winter 2018-19,,2018-12-01T00:00:00.000,649728
365,Fine particles (PM 2.5),Mean,UHF42,304,9.78,Upper West Side,mcg/m3,Annual Average 2015,,2015-01-01T00:00:00.000,334015
365,Fine particles (PM 2.5),Mean,UHF42,304,9.79,Upper West Side,mcg/m3,Summer 2014,,2014-06-01T00:00:00.000,212815
365,Fine particles (PM 2.5),Mean,Borough,5,6.40,Staten Island,mcg/m3,Annual Average 2018,,2018-01-01T00:00:00.000,605660
365,Fine particles (PM 2.5),Mean,Borough,5,6.84,Staten Island,mcg/m3,Annual Average 2016,,2015-12-31T00:00:00.000,410734
365,Fine particles (PM 2.5),Mean,UHF42,204,7.80,East New York,mcg/m3,Annual Average 2016,,2015-12-31T00:00:00.000,410767
365,Fine particles (PM 2.5),Mean,Borough,5,9.72,Staten Island,mcg/m3,Winter 2012-13,,2012-12-01T00:00:00.000,179517
365,Fine particles (PM 2.5),Mean,UHF42,104,7.28,Pelham - Throgs Neck,mcg/m3,Winter 2019-20,,2019-12-01T00:00:00.000,669828
365,Fine particles (PM 2.5),Mean,Borough,5,8.68,Staten Island,mcg/m3,Summer 2015,,2015-06-01T00:00:00.000,333950
365,Fine particles (PM 2.5),Mean,Borough,5,7.38,Staten Island,mcg/m3,Summer 2019,,2019-06-01T00:00:00.000,649661
365,Fine particles (PM 2.5),Mean,Borough,5,8.80,Staten Island,mcg/m3,Annual Average 2010,,2009-12-01T00:00:00.000,179652
365,Fine particles (PM 2.5),Mean,UHF42,104,7.81,Pelham - Throgs Neck,mcg/m3,Summer 2019,,2019-06-01T00:00:00.000,649673
386,Ozone (O3),Mean,UHF34,205,29.49,Sunset Park,ppb,Summer 2018,,2018-06-01T00:00:00.000,605280
365,Fine particles (PM 2.5),Mean,UHF42,104,8.39,Pelham - Throgs Neck,mcg/m3,Summer 2018,,2018-06-01T00:00:00.000,605673
365,Fine particles (PM 2.5),Mean,UHF42,104,7.14,Pelham - Throgs Neck,mcg/m3,Summer 2020,,2020-06-01T00:00:00.000,669827
365,Fine particles (PM 2.5),Mean,Borough,5,8.41,Staten Island,mcg/m3,Annual Average 2014,,2013-12-01T00:00:00.000,211439
365,Fine particles (PM 2.5),Mean,Borough,5,6.58,Staten Island,mcg/m3,Summer 2020,,2020-06-01T00:00:00.000,669839
375,Nitrogen dioxide (NO2),Mean,UHF42,204,23.90,East New York,ppb,Annual Average 2009,,2008-12-01T00:00:00.000,176519
375,Nitrogen dioxide (NO2),Mean,UHF42,204,22.90,East New York,ppb,Annual Average 2011,,2010-12-01T00:00:00.000,176603
375,Nitrogen dioxide (NO2),Mean,UHF42,104,20.36,Pelham - Throgs Neck,ppb,Winter 2018-19,,2018-12-01T00:00:00.000,643329
375,Nitrogen dioxide (NO2),Mean,UHF42,204,19.09,East New York,ppb,Annual Average 2015,,2015-01-01T00:00:00.000,336520
375,Nitrogen dioxide (NO2),Mean,Borough,5,12.92,Staten Island,ppb,Annual Average 2018,,2018-01-01T00:00:00.000,602699
375,Nitrogen dioxide (NO2),Mean,Borough,5,10.01,Staten Island,ppb,Summer 2013,,2013-06-01T00:00:00.000,179367
375,Nitrogen dioxide (NO2),Mean,Borough,5,13.47,Staten Island,ppb,Annual Average 2016,,2015-12-31T00:00:00.000,412426
375,Nitrogen dioxide (NO2),Mean,Borough,5,10.64,Staten Island,ppb,Summer 2012,,2012-06-01T00:00:00.000,179362
365,Fine particles (PM 2.5),Mean,UHF42,104,6.56,Pelham - Throgs Neck,mcg/m3,Winter 2020-21,,2020-12-01T00:00:00.000,742171
365,Fine particles (PM 2.5),Mean,Borough,5,11.09,Staten Island,mcg/m3,Summer 2011,,2011-06-01T00:00:00.000,179582
365,Fine particles (PM 2.5),Mean,Borough,5,7.46,Staten Island,mcg/m3,Winter 2015-16,,2015-12-01T00:00:00.000,410732
365,Fine particles (PM 2.5),Mean,Borough,5,11.43,Staten Island,mcg/m3,Summer 2010,,2010-06-01T00:00:00.000,179577
640,Boiler Emissions- Total SO2 Emissions,Number per km2,Borough,5,0.10,Staten Island,number,2013,,2013-01-01T00:00:00.000,130444
365,Fine particles (PM 2.5),Mean,CD,107,8.49,Upper West Side (CD7),mcg/m3,Annual Average 2016,,2015-12-31T00:00:00.000,410986
365,Fine particles (PM 2.5),Mean,CD,107,11.44,Upper West Side (CD7),mcg/m3,Summer 2012,,2012-06-01T00:00:00.000,169462
365,Fine particles (PM 2.5),Mean,CD,107,11.38,Upper West Side (CD7),mcg/m3,Summer 2013,,2013-06-01T00:00:00.000,169521
375,Nitrogen dioxide (NO2),Mean,UHF42,104,16.89,Pelham - Throgs Neck,ppb,Annual Average 2018,,2018-01-01T00:00:00.000,602711
375,Nitrogen dioxide (NO2),Mean,UHF42,104,17.92,Pelham - Throgs Neck,ppb,Annual Average 2016,,2015-12-31T00:00:00.000,412438
375,Nitrogen dioxide (NO2),Mean,UHF42,104,14.69,Pelham - Throgs Neck,ppb,Summer 2013,,2013-06-01T00:00:00.000,176050
375,Nitrogen dioxide (NO2),Mean,UHF42,104,16.09,Pelham - Throgs Neck,ppb,Summer 2012,,2012-06-01T00:00:00.000,176008
375,Nitrogen dioxide (NO2),Mean,UHF42,211,25.75,Williamsburg - Bushwick,ppb,Annual Average 2011,,2010-12-01T00:00:00.000,176610
375,Nitrogen dioxide (NO2),Mean,Borough,5,7.72,Staten Island,ppb,Summer 2021,,2021-06-01T00:00:00.000,740891
386,Ozone (O3),Mean,UHF42,104,30.29,Pelham - Throgs Neck,ppb,Summer 2021,,2021-06-01T00:00:00.000,743723
375,Nitrogen dioxide (NO2),Mean,Borough,5,9.84,Staten Island,ppb,Summer 2019,,2019-06-01T00:00:00.000,643316
375,Nitrogen dioxide (NO2),Mean,Borough,5,19.13,Staten Island,ppb,Winter 2012-13,,2012-12-01T00:00:00.000,179292
375,Nitrogen dioxide (NO2),Mean,Borough,5,15.35,Staten Island,ppb,Annual Average 2010,,2009-12-01T00:00:00.000,179427
640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,104,4.40,Pelham - Throgs Neck,number,2013,,2013-01-01T00:00:00.000,130400
365,Fine particles (PM 2.5),Mean,Borough,5,8.35,Staten Island,mcg/m3,Annual Average 2012,,2011-12-01T00:00:00.000,179662
640,Boiler Emissions- Total SO2 Emissions,Number per km2,Borough,5,0.10,Staten Island,number,2015,,2015-01-01T00:00:00.000,179813
640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,104,2.80,Pelham - Throgs Neck,number,2015,,2015-01-01T00:00:00.000,179783
365,Fine particles (PM 2.5),Mean,Borough,5,9.32,Staten Island,mcg/m3,Summer 2013,,2013-06-01T00:00:00.000,179592
365,Fine particles (PM 2.5),Mean,Borough,5,11.68,Staten Island,mcg/m3,Winter 2010-11,,2010-12-01T00:00:00.000,179507
365,Fine particles (PM 2.5),Mean,UHF42,104,6.60,Pelham - Throgs Neck,mcg/m3,Annual Average 2021,,2021-01-01T00:00:00.000,742173
365,Fine particles (PM 2.5),Mean,Borough,5,6.15,Staten Island,mcg/m3,Annual Average 2021,,2021-01-01T00:00:00.000,742161
365,Fine particles (PM 2.5),Mean,Borough,5,7.98,Staten Island,mcg/m3,Annual Average 2013,,2012-12-01T00:00:00.000,179667
375,Nitrogen dioxide (NO2),Mean,UHF42,104,15.12,Pelham - Throgs Neck,ppb,Summer 2015,,2015-06-01T00:00:00.000,336500
375,Nitrogen dioxide (NO2),Mean,UHF42,104,21.04,Pelham - Throgs Neck,ppb,Annual Average 2010,,2009-12-01T00:00:00.000,176554
375,Nitrogen dioxide (NO2),Mean,Borough,5,8.85,Staten Island,ppb,Summer 2015,,2015-06-01T00:00:00.000,336488
386,Ozone (O3),Mean,Borough,5,29.29,Staten Island,ppb,Summer 2019,,2019-06-01T00:00:00.000,650921
386,Ozone (O3),Mean,Borough,5,32.59,Staten Island,ppb,Summer 2015,,2015-06-01T00:00:00.000,338171
386,Ozone (O3),Mean,UHF42,204,32.58,East New York,ppb,Summer 2015,,2015-06-01T00:00:00.000,338182
365,Fine particles (PM 2.5),Mean,Borough,5,7.79,Staten Island,mcg/m3,Winter 2017-18,,2017-12-01T00:00:00.000,605662
365,Fine particles (PM 2.5),Mean,Borough,5,5.92,Staten Island,mcg/m3,Annual Average 2019,,2019-01-01T00:00:00.000,649660
365,Fine particles (PM 2.5),Mean,Borough,5,11.82,Staten Island,mcg/m3,Winter 2008-09,,2008-12-01T00:00:00.000,179497
365,Fine particles (PM 2.5),Mean,UHF42,104,6.74,Pelham - Throgs Neck,mcg/m3,Annual Average 2019,,2019-01-01T00:00:00.000,649672
365,Fine particles (PM 2.5),Mean,CD,107,6.35,Upper West Side (CD7),mcg/m3,Annual Average 2020,,2020-01-01T00:00:00.000,669567
365,Fine particles (PM 2.5),Mean,CD,107,8.16,Upper West Side (CD7),mcg/m3,Winter 2018-19,,2018-12-01T00:00:00.000,649914
365,Fine particles (PM 2.5),Mean,UHF42,204,11.03,East New York,mcg/m3,Winter 2013-14,,2013-12-01T00:00:00.000,212678
365,Fine particles (PM 2.5),Mean,UHF42,204,6.56,East New York,mcg/m3,Annual Average 2019,,2019-01-01T00:00:00.000,649693
365,Fine particles (PM 2.5),Mean,UHF42,304,9.21,Upper West Side,mcg/m3,Winter 2017-18,,2017-12-01T00:00:00.000,605728
365,Fine particles (PM 2.5),Mean,UHF42,304,13.77,Upper West Side,mcg/m3,Winter 2013-14,,2013-12-01T00:00:00.000,212689
365,Fine particles (PM 2.5),Mean,UHF42,211,9.42,Williamsburg - Bushwick,mcg/m3,Winter 2017-18,,2017-12-01T00:00:00.000,605716
365,Fine particles (PM 2.5),Mean,UHF42,211,7.50,Williamsburg - Bushwick,mcg/m3,Annual Average 2019,,2019-01-01T00:00:00.000,649714
365,Fine particles (PM 2.5),Mean,CD,407,8.48,Flushing and Whitestone (CD7),mcg/m3,Annual Average 2015,,2015-01-01T00:00:00.000,334327
365,Fine particles (PM 2.5),Mean,CD,407,8.23,Flushing and Whitestone (CD7),mcg/m3,Summer 2014,,2014-06-01T00:00:00.000,213979
365,Fine particles (PM 2.5),Mean,CD,207,6.05,Kingsbridge Heights and Bedford (CD7),mcg/m3,Annual Average 2020,,2020-01-01T00:00:00.000,669862
365,Fine particles (PM 2.5),Mean,CD,207,9.34,Kingsbridge Heights and Bedford (CD7),mcg/m3,Annual Average 2015,,2015-01-01T00:00:00.000,334237
365,Fine particles (PM 2.5),Mean,CD,207,9.00,Kingsbridge Heights and Bedford (CD7),mcg/m3,Summer 2014,,2014-06-01T00:00:00.000,213949
365,Fine particles (PM 2.5),Mean,CD,107,10.39,Upper West Side (CD7),mcg/m3,Summer 2015,,2015-06-01T00:00:00.000,334202
365,Fine particles (PM 2.5),Mean,CD,107,10.98,Upper West Side (CD7),mcg/m3,Annual Average 2010,,2009-12-01T00:00:00.000,170229
365,Fine particles (PM 2.5),Mean,CD,107,12.58,Upper West Side (CD7),mcg/m3,Winter 2012-13,,2012-12-01T00:00:00.000,168636
365,Fine particles (PM 2.5),Mean,CD,107,10.44,Upper West Side (CD7),mcg/m3,Annual Average 2012,,2011-12-01T00:00:00.000,170347
365,Fine particles (PM 2.5),Mean,CD,107,13.02,Upper West Side (CD7),mcg/m3,Summer 2010,,2010-06-01T00:00:00.000,169344
